PMCID,female,male,female_percentage,male_percentage
PMC2359943,10,,,
PMC2359953,,37,,
PMC2360231,,,,
PMC2360272,102,,,
PMC2360424,52,,,
PMC2360445,25,72,,
PMC2360577,,35,,
PMC2360597,44,69,,
PMC2360701,16,87,,
PMC2360730,1158,,,
PMC2360758,,10,,
PMC2361092,55,,,
PMC2361124,,,,
PMC2361231,24,,,
PMC2361348,,,,
PMC2361371,512,,,
PMC2361448,8,47,,
PMC2361468,8,18,,
PMC2361583,,14,,
PMC2362036,99,,,
PMC2362090,230,,,
PMC2362102,,2,,
PMC2364146,,12,,
PMC2364272,,,,
PMC2364284,17,33,,
PMC2364778,77,106,,
PMC2367607,,,,
PMC2367678,,100,,
PMC2373889,,2,,
PMC2374448,25,15,,
PMC2374472,,20,,
PMC2374796,6,24,,
PMC2374892,,405,,
PMC2375027,,,,
PMC2375113,,,,
PMC2375191,16,21,,
PMC2375200,30,,,
PMC2375207,477,,,
PMC2375229,208,316,,
PMC2375286,134,,,
PMC2375319,601,,,
PMC2376173,,,,
PMC2376849,10,14,,
PMC2376963,22,28,,
PMC2377112,17,30,,
PMC2377153,11,70,,
PMC2377273,,,,
PMC2386460,106,98,,
PMC2386754,22,,,
PMC2390566,,,,
PMC2394235,14,77,,
PMC2394337,32,47,,
PMC2394422,14,10,,
PMC2395285,30,80,,
PMC2395319,14,,,
PMC2396284,,,,
PMC2396627,34,49,,
PMC2408584,7,8,,
PMC2409457,,77,,
PMC2409473,,62,,
PMC2409502,,,,
PMC2409518,3,22,,
PMC2409802,,47,,
PMC2409817,22,33,,
PMC2409880,7278,,,
PMC2409882,,67,,
PMC2409911,13,10,,
PMC2412850,4,10,,
PMC2413198,17,24,,
PMC2413425,5,9,,
PMC2426733,125,80,,
PMC2427338,9,8,,
PMC2429911,,,,
PMC2430234,307,,,
PMC2430568,63,,,
PMC2432037,236,,,
PMC2435536,,,,
PMC2443290,,,,
PMC2453019,107,,,
PMC2453028,,,,
PMC2453102,8,10,,
PMC2453111,,,,
PMC2453324,,,,
PMC2459179,,,,
PMC2464735,68,55,,
